ticker,date,change_percent,from_open_percent,gap,change_percent_pre,from_open_percent_pre,gap_pre,beta_pre,atr_pre,sma20_percent_pre,sma50_percent_pre,sma200_percent_pre,high_52w_percent_pre,low_52w_percent_pre,rsi_pre,price_pre,volume_pre
PGRE,2025-05-20,4.07,1.26,2.77,13.18,6.08,6.69,1.23,0.22,18.43,25.36,14.76,-1.1,44.27,77.29,5.41,11370745
BOIL,2025-05-02,10.78,4.74,5.77,17.06,8.17,8.22,0.12,5.75,-2.08,-15.72,-0.58,-53.71,60.37,46.08,57.22,4190137
QBTS,2025-05-21,-7.25,-13.46,7.19,25.93,9.45,15.06,1.32,1.39,77.48,99.26,259.2,23.21,2106.53,85.11,16.56,307304843
ASST,2025-04-25,2.08,2.82,-0.72,61.82,40.04,15.55,17.34,1.6,189.31,515.81,966.38,19.36,3783.58,81.35,13.01,37123656
DRIP,2025-04-22,-4.92,-1.67,-3.31,21.28,9.47,10.79,-1.76,0.65,11.18,15.1,18.45,-6.69,58.68,64.52,12.48,3130544
MEXX,2025-04-04,-23.58,-14.86,-10.24,12.16,5.44,6.38,2.83,0.76,12.59,15.1,0.35,-64.77,49.38,63.41,13.19,517199
TCRT,2025-04-04,-30.09,-33.26,4.74,50.71,42.09,6.07,-0.99,0.38,143.14,151.84,54.87,-77.19,221.23,90.86,4.22,6271698
VXX,2025-04-04,19.78,7.04,11.91,24.76,8.66,14.81,-1.97,3.94,21.97,32.76,30.65,-31.34,56.3,70.89,62.49,16523886
REW,2025-04-07,-1.29,-9.17,8.68,13.25,7.09,5.75,-2.38,0.7,27.28,40.97,40.4,-3.29,68.03,78.01,15.56,135788
DXD,2025-04-07,1.98,-4.15,6.39,10.93,5.39,5.26,-1.76,1.08,16.08,23.84,18.2,-4.9,35.66,76.96,32.87,2468129
HIBS,2025-04-01,-2.14,-2.75,0.63,19.97,7.54,11.55,-3.98,2.64,47.64,74.68,74.2,11.65,144.26,76.96,35.93,718757
LABD,2025-04-07,2.46,-8.16,11.56,17.87,10.11,7.05,-2.64,0.82,43.22,59.91,84.53,6.92,155.23,74.56,12.2,13586918
SIJ,2025-04-07,1.51,-12.23,15.65,12.65,6.82,5.46,-2.12,0.38,20.25,26.16,21.35,-1.77,42.93,75.19,10.26,25697
SOXS,2025-04-07,-6.96,-15.62,10.26,23.66,10.67,11.74,-4.18,3.39,66.47,93.09,99.54,-2.82,178.41,82.38,45.52,100510734
SPXS,2025-04-07,0.43,-8.75,10.06,17.93,9.24,7.95,-2.89,0.48,29.45,44.53,38.16,-10.62,68.29,77.19,9.34,130403795
SPXU,2025-04-07,0.69,-8.41,9.94,18.2,9.33,8.11,-2.89,1.68,29.58,44.64,36.31,-13.25,68.48,77.86,33.51,28021458
SQQQ,2025-04-07,-0.38,-10.14,10.86,18.41,9.15,8.49,-3.37,2.95,33.25,53.21,39.19,-22.46,92.11,76.65,50.36,226915392
TSDD,2025-04-07,4.68,-7.32,12.94,21.17,11.11,9.05,-2.11,8.77,0.09,23.09,-46.12,-91.63,166.03,54.39,64.38,3067514
TSLQ,2025-04-07,4.98,-7.65,13.67,20.87,10.8,9.08,-1.59,7.01,-0.37,22.57,-46.9,-82.27,149,54.2,50.97,25258626
TSLZ,2025-04-07,4.72,-7.75,13.52,20.73,9.91,9.84,-1.9,0.64,-0.81,21.79,-49.96,-92.32,151.88,54,4.66,149271023
AIFF,2025-04-10,2.58,-0.62,3.23,13.14,5.8,6.93,3.17,0.71,-24.08,-37.28,-28.5,-81.98,66.67,40.07,3.1,603895
GDXU,2025-04-10,13.56,12.39,1.04,26.46,12.71,12.2,1.97,6.36,-2.43,10.07,24.39,-17.13,104.99,52.67,52.95,1590306
NUGT,2025-04-10,9.67,8.52,1.06,16.46,7.42,8.41,1.19,4.6,0.33,9.67,24.29,-9.89,71.1,54.83,58.31,3155649
VTVT,2025-04-10,-2.37,-3.26,0.92,17.28,6.62,10,0.78,1.57,6.93,5.38,14.83,-36.52,52.89,55.52,18.53,7008
TSLQ,2025-04-11,-0.05,-0.62,0.57,13.55,5.14,7.99,-1.5,9.44,-23.02,-14.72,-60.33,-87.2,79.73,44.06,36.79,22720810
TSLZ,2025-04-11,0.3,-0.88,1.19,13.9,5.33,8.14,-1.61,0.87,-23.34,-15.26,-61.9,-94.46,81.61,43.96,3.36,83394381
UVIX,2025-04-11,-3.92,-10.73,7.63,35.14,17.66,14.86,-3.83,16.45,56.68,86.44,55.77,-64.87,171.41,60.27,2,12623448
UVXY,2025-04-11,-3.21,-7.37,4.5,28.18,14.77,11.68,-3.39,6.81,54.67,79.86,74.6,-36.54,142.11,64.14,41.8,29991307
VIXM,2025-04-11,0.69,0.59,0.11,11.59,5.45,5.82,-0.95,1.13,15.91,20.81,25.8,-5.72,37.28,65.33,18.78,380691
VIXY,2025-04-11,-2.85,-5.39,2.68,18.95,10.76,7.39,-2.39,8.87,40.8,57.67,62.62,-13.51,96.94,66.62,77.91,3277002
VXZ,2025-04-11,0.78,1.24,-0.46,12.48,5.9,6.21,-0.96,3.84,16.31,21.33,26.64,-5.21,38.36,65.55,65.72,106590
IAUX,2025-04-14,-0.65,-1.1,0.45,12.83,7.32,5.14,1.1,0.05,-0.12,-6.32,-25.5,-57.14,82.01,50.88,0.62,8047497
YINN,2025-05-20,3.16,0.8,2.34,12.83,5.29,7.16,1.08,3.63,-23.64,-24.56,-2.2,-49.24,68.88,38.79,30.08,8702074
LIVE,2025-05-20,4.54,6.92,-2.23,11.23,5.14,5.79,0.61,0.57,25.77,15.99,-27.14,-64.57,52.16,73.11,9.51,13773
DTIL,2025-04-16,-9.24,-7.56,-1.81,23.77,6.15,16.59,1.57,0.42,15.28,9.77,-23.82,-61.64,52.91,61.78,5.52,1050565
HTZ,2025-05-20,-3.58,-1.97,-1.64,56.44,30.96,19.45,2.36,0.5,46.67,42.02,53.45,-16.15,131.17,67.96,5.71,69508565
INHD,2025-04-01,1.89,9.75,-7.16,37.5,22.81,11.96,-1.43,0.45,61.24,75.11,66.55,-5.93,185.33,88.77,8.56,131695
NG,2025-05-20,1.65,1.09,0.55,39.87,27.94,9.32,0.63,0.3,49.1,40.06,20.17,-10.86,92.48,77.05,4.35,24974616
SENS,2025-04-04,-7.05,-2.95,-4.22,15.5,6.62,8.33,1.1,0.06,10.18,-7.81,30.59,-50.5,177.2,55.37,0.69,7820200
RLMD,2025-04-24,6.86,19.03,-10.23,82.54,67.88,8.73,-0.02,0.06,121.49,130.83,-63.32,-84.56,187.02,87.64,0.69,32593754
HAS,2025-05-20,0.26,0.41,-0.15,14.58,5.36,8.75,0.59,2.99,9.13,0.92,-4.16,-17.82,23.2,59.22,60.37,6120095
QRVO,2025-05-20,0.13,1.53,-1.38,14.4,5.47,8.46,1.4,4.03,18.99,5.61,-16.05,-45.29,44.9,61.97,71.67,5868792
PAVM,2025-05-02,-3.65,-3.65,0,13.17,6.49,6.27,1.12,0.07,17.43,14.78,-7.5,-66.25,49.09,61.78,0.82,136756
BJRI,2025-05-20,-1.7,-1.2,-0.51,13.2,6.55,6.24,1.49,1.63,16.06,10.76,11.15,-9.13,37.31,69.48,37.91,1996842
DUOL,2025-05-05,1.59,2.8,-1.18,21.61,10.93,9.62,0.88,26.87,39.06,47.23,62.47,10.11,235.35,81.63,486.42,3052150
DXCM,2025-05-20,0.44,1.31,-0.86,16.17,8.26,7.3,1.42,3.49,19.69,11.98,7.3,-38.29,41.9,70.39,81.62,10692039
FLGT,2025-04-24,0.74,0.42,0.32,19.07,12.86,5.51,1.01,0.93,12.79,18.04,5.48,-18.2,40.97,66.53,20.54,851635
PRDO,2025-05-05,0.03,1.18,-1.14,22.49,14.06,7.39,0.73,1.25,20.56,21.33,24.27,3.32,56.46,78.91,30.83,1346375
BCRX,2025-05-06,-6.89,-6.38,-0.54,23.52,13.01,9.29,1.05,0.53,40.94,40.88,41.42,16.11,149.55,82.35,11.03,24784926
CRMD,2025-05-07,4.66,5.32,-0.63,23.59,17.47,5.2,1.55,0.68,33.5,26.69,27.87,-19.42,209.14,72.9,11.16,4183724
DHC,2025-04-03,-5.71,-3.35,-2.45,31.19,19.17,10.09,2.34,0.18,27.31,17.87,0.94,-32.55,43,71.22,2.86,4203968
IPI,2025-05-07,-0.89,-0.92,0.03,17.26,5.44,11.21,1.76,1.83,24.3,32.63,47.99,8.58,84.09,77.31,38.19,788215
TDUP,2025-05-07,-1.83,-0.92,-0.91,47.75,20.81,22.3,1.51,0.41,66.91,114.95,267.9,41.84,1204.17,89.45,6.56,21022606
CRCT,2025-05-20,1.29,0.81,0.49,20.32,9.32,10.06,0.01,0.33,27.66,19.84,6.25,-21.74,54.82,73.94,6.1,2374859
CURI,2025-04-17,8.93,8.56,0.34,40.3,7.67,30.3,1.43,0.37,44.82,61.7,120.67,23.74,372.45,77.45,4.63,10800731
HALO,2025-04-17,-0.05,1.05,-1.09,18.12,10.13,7.26,1.26,2.81,16.25,14.88,24.53,6.27,71.62,70.83,70.14,9680894
