ticker,beta_3,atr_3,sma20_percent_3,sma50_percent_3,sma200_percent_3,high_52w_percent_3,low_52w_percent_3,rsi_3,price_3,change_percent_3,from_open_percent_3,gap_3,volume_3,beta_2,atr_2,sma20_percent_2,sma50_percent_2,sma200_percent_2,high_52w_percent_2,low_52w_percent_2,rsi_2,price_2,change_percent_2,from_open_percent_2,gap_2,volume_2,beta_1,atr_1,sma20_percent_1,sma50_percent_1,sma200_percent_1,high_52w_percent_1,low_52w_percent_1,rsi_1,price_1,change_percent_1,from_open_percent_1,gap_1,volume_1
STSS,1.36,0.24,-79.04,-83.05,-91.61,-97.92,-8.54,12.11,0.38,-18.91,-16.88,-2.44,9825374,1.52,0.25,-75.25,-79.54,-89.74,-97.43,-66.2,12.67,0.47,-68.05,3.64,-69.18,20503794,1.49,0.19,-25.57,-37.21,-68.12,-91.96,-10.98,24.47,1.46,-11.52,-10.98,-0.61,87332
VERU,-0.55,0.16,-24.23,-16.57,-32.48,-68.17,69.21,42.6,0.61,17.31,12.04,4.7,10257801,-0.52,0.16,-35.67,-28.89,-42.82,-72.86,44.24,38.49,0.52,-17.97,-21.24,4.16,12311374,-0.39,0.16,-22.37,-13.64,-30.57,-66.92,75.83,42.02,0.64,-47.51,-5.02,-44.74,44125926
REBN,2.27,0.3,26.58,44.12,-33.18,-76.93,120.65,62.37,2.03,-11.35,-5.14,-6.55,521192,2.19,0.28,44.5,64.68,-24.5,-73.98,148.91,72.18,2.29,34.71,35.5,-0.59,3301083,2.17,0.21,8.96,24.27,-43.86,-80.68,84.78,58.39,1.7,18.06,19.72,-1.39,133805
SGLY,1.02,0.47,-58.62,-50.7,-71.04,-88.15,-9.36,33.54,0.91,-12,-11.14,-0.97,284105,1.02,0.49,-53.72,-44.73,-67.3,-86.54,-10.43,34.77,1.03,-12.71,-11.97,-0.85,296994,1.05,0.5,-47.6,-37.38,-62.78,-84.58,-7.09,36.27,1.18,-20.27,-20.27,0,240714
SXTP,4.36,0.17,-20.47,-30.34,-57.33,-88.89,14.04,41.51,60,-24.53,-17.15,-8.91,2668995,4.17,0.16,2.97,-7.94,-43.81,-85.28,51.1,50.86,60,37.52,7.01,28.52,55580358,4.35,0.14,-25.95,-32.96,-59.37,-89.29,9.88,35.95,60,-11.01,-12.9,2.17,4474432
HYZN,2.83,0.14,-26.87,-51.45,-93.3,-98.58,53.45,28.37,0.64,24.98,10.71,12.89,7341127,2.82,0.13,-42.89,-61.63,-94.73,-98.86,2.4,15.2,0.51,-10.06,-5.19,-5.15,895485,2.87,0.13,-38.38,-58.03,-94.24,-98.73,13.86,16.47,0.57,-12.68,-8.62,-4.45,466290
SNAL,-0.82,0.35,11.16,41.11,100.26,-21.4,351.66,56.4,2.35,19.9,15.2,4.08,72575,-0.86,0.34,-6.18,19.31,67.95,-34.45,276.71,49.39,1.96,12,13.95,-1.71,88711,-0.81,0.34,-16.05,7.26,50.55,-41.47,236.34,44.97,1.75,-16.27,-16.67,0.48,165942
SPGC,4.2,0.12,127.4,10.92,-71.29,-90.17,241.18,69.65,0.9,52.78,18.53,28.9,128401132,3.99,0.09,59.32,-28.77,-81.34,-93.56,123.32,56.61,0.59,55.26,31.11,18.42,49972854,3.95,0.08,5.86,-55.42,-88.08,-95.85,43.83,40.64,0.38,31.03,26.67,3.45,5585029
BNZI,-0.57,0.29,18.21,18.22,-70.38,-97.78,52.89,55.07,1.85,-17.41,-11.48,-6.7,2435251,-0.63,0.28,44.61,43.36,-64.64,-97.38,85.12,66.09,2.24,16.06,-5.08,22.28,40957724,-0.7,0.24,26.89,24,-70,-97.74,59.5,60.21,1.93,54.4,30.41,18.4,29574434
CYN,-1.3,0.19,-51.07,-89.37,-95.02,-98.99,-10.39,24.36,0.27,-18.99,-6.35,-13.5,21436630,-1.26,0.2,-42.61,-87.43,-93.92,-98.76,-5.15,25.39,0.33,-10.28,-7.42,-3.1,6610338,-1.27,0.21,-38.55,-86.67,-93.31,-98.61,5.72,26,0.37,-11.78,-9.37,-2.66,4574476
EXOD,3.59,14.16,6.66,32.84,209.71,-57.51,887.72,51.05,49.88,-18.74,-23.85,6.71,155810,3.71,13.61,34,65.67,286.67,-47.72,1115.45,57.93,61.38,-31.27,-34.53,4.99,203228,3.72,11.14,99.97,146.3,473,0.36,1668.32,83.22,89.3,11.4,12.95,-1.37,216643
CMCT,0.42,0.24,-26.62,-55.47,-95.06,-98.27,19.69,35.32,0.76,13.18,8.93,3.9,288470,0.44,0.25,-39.51,-61.56,-95.69,-98.47,-2.68,31.84,0.67,-11.77,-13.93,2.51,632026,0.43,0.25,-34.23,-57.59,-95.17,-98.27,10.3,33.53,0.76,-16.56,-14.48,-2.43,342064
EVTV,2.49,0.14,-51.13,-62.68,-72.68,-85.81,39.69,23.7,0.45,31.02,40.82,-6.96,9644757,2.54,0.14,-64.16,-72.09,-79.26,-89.17,-38.12,14.59,0.35,-48.05,-36.77,-17.84,4632648,2.51,0.12,-34.03,-47.42,-60.32,-79.16,19.11,21.79,0.67,17.22,-9.86,30.05,47067043
SGN,3.59,0.97,52.28,-1.36,-61.29,-90.4,116,56.29,3.78,47.66,-21.09,87.11,58608144,3.95,0.85,5.58,-34.8,-73.92,-93.5,46.29,46.87,2.56,-41.01,-28.69,-17.28,3011824,3.36,0.77,78.58,6.71,-56.08,-89.73,148,66.2,4.34,123.71,85.47,20.62,96954478
